"Statistic","Year","County and Region","UNIT","VALUE"
"Disposable Income per Person (excluding Rent)","2010","Southern","Euro","17147"
"Disposable Income per Person (excluding Rent)","2010","Mid-West","Euro","17328"
"Disposable Income per Person (excluding Rent)","2010","Clare","Euro","16883"
"Disposable Income per Person (excluding Rent)","2010","Limerick","Euro","17830"
"Disposable Income per Person (excluding Rent)","2010","Tipperary","Euro","17036"
"Disposable Income per Person (excluding Rent)","2010","South-East","Euro","17005"
"Disposable Income per Person (excluding Rent)","2010","Carlow","Euro","17045"
"Disposable Income per Person (excluding Rent)","2010","Kilkenny","Euro","16108"
"Disposable Income per Person (excluding Rent)","2010","Wexford","Euro","17687"
"Disposable Income per Person (excluding Rent)","2010","Waterford","Euro","16915"
"Disposable Income per Person (excluding Rent)","2010","South-West","Euro","17105"
"Disposable Income per Person (excluding Rent)","2010","Cork","Euro","17573"
"Disposable Income per Person (excluding Rent)","2010","Kerry","Euro","15522"
"Disposable Income per Person (excluding Rent)","2010","Eastern and Midland","Euro","17721"
"Disposable Income per Person (excluding Rent)","2010","Dublin","Euro","18359"
"Disposable Income per Person (excluding Rent)","2010","Mid-East","Euro","17208"
"Disposable Income per Person (excluding Rent)","2010","Kildare","Euro","17453"
"Disposable Income per Person (excluding Rent)","2010","Louth","Euro","17461"
"Disposable Income per Person (excluding Rent)","2010","Meath","Euro","17777"
"Disposable Income per Person (excluding Rent)","2010","Wicklow","Euro","15985"
"Disposable Income per Person (excluding Rent)","2010","Midland","Euro","16030"
"Disposable Income per Person (excluding Rent)","2010","Laois","Euro","16534"
"Disposable Income per Person (excluding Rent)","2010","Longford","Euro","16108"
"Disposable Income per Person (excluding Rent)","2010","Offaly","Euro","15182"
"Disposable Income per Person (excluding Rent)","2010","Westmeath","Euro","16335"
"Disposable Income per Person (excluding Rent)","2011","State","Euro","16242"
"Disposable Income per Person (excluding Rent)","2011","Northern and Western","Euro","15148"
"Disposable Income per Person (excluding Rent)","2011","Border","Euro","14898"
"Disposable Income per Person (excluding Rent)","2011","Leitrim","Euro","16315"
"Disposable Income per Person (excluding Rent)","2011","Sligo","Euro","15717"
"Disposable Income per Person (excluding Rent)","2011","Cavan","Euro","14973"
"Disposable Income per Person (excluding Rent)","2011","Donegal","Euro","14164"
"Disposable Income per Person (excluding Rent)","2011","Monaghan","Euro","15133"
"Disposable Income per Person (excluding Rent)","2011","West","Euro","15368"
"Disposable Income per Person (excluding Rent)","2011","Galway","Euro","15487"
"Disposable Income per Person (excluding Rent)","2011","Mayo","Euro","15365"
"Disposable Income per Person (excluding Rent)","2011","Roscommon","Euro","14907"
"Disposable Income per Person (excluding Rent)","2011","Southern","Euro","16220"
"Disposable Income per Person (excluding Rent)","2011","Mid-West","Euro","17004"
"Disposable Income per Person (excluding Rent)","2011","Clare","Euro","15268"
"Disposable Income per Person (excluding Rent)","2011","Limerick","Euro","18673"
"Disposable Income per Person (excluding Rent)","2011","Tipperary","Euro","16270"
"Disposable Income per Person (excluding Rent)","2011","South-East","Euro","15653"
"Disposable Income per Person (excluding Rent)","2011","Carlow","Euro","16270"
"Disposable Income per Person (excluding Rent)","2011","Kilkenny","Euro","14973"
"Disposable Income per Person (excluding Rent)","2011","Wexford","Euro","15507"
"Disposable Income per Person (excluding Rent)","2011","Waterford","Euro","16115"
"Disposable Income per Person (excluding Rent)","2011","South-West","Euro","16017"
"Disposable Income per Person (excluding Rent)","2011","Cork","Euro","16306"
"Disposable Income per Person (excluding Rent)","2011","Kerry","Euro","14985"
"Disposable Income per Person (excluding Rent)","2011","Eastern and Midland","Euro","16672"
"Disposable Income per Person (excluding Rent)","2011","Dublin","Euro","17508"
"Disposable Income per Person (excluding Rent)","2011","Mid-East","Euro","15757"
"Disposable Income per Person (excluding Rent)","2011","Kildare","Euro","16087"
"Disposable Income per Person (excluding Rent)","2011","Louth","Euro","15684"
"Disposable Income per Person (excluding Rent)","2011","Meath","Euro","15532"
"Disposable Income per Person (excluding Rent)","2011","Wicklow","Euro","15618"
"Disposable Income per Person (excluding Rent)","2011","Midland","Euro","15022"
"Disposable Income per Person (excluding Rent)","2011","Laois","Euro","15103"
"Disposable Income per Person (excluding Rent)","2011","Longford","Euro","15411"
"Disposable Income per Person (excluding Rent)","2011","Offaly","Euro","14451"
"Disposable Income per Person (excluding Rent)","2011","Westmeath","Euro","15279"
"Disposable Income per Person (excluding Rent)","2012","State","Euro","16735"
"Disposable Income per Person (excluding Rent)","2012","Northern and Western","Euro","15480"
"Disposable Income per Person (excluding Rent)","2012","Border","Euro","15011"
"Disposable Income per Person (excluding Rent)","2012","Leitrim","Euro","16534"
"Disposable Income per Person (excluding Rent)","2012","Sligo","Euro","16274"
"Disposable Income per Person (excluding Rent)","2012","Cavan","Euro","15233"
"Disposable Income per Person (excluding Rent)","2012","Donegal","Euro","14252"
"Disposable Income per Person (excluding Rent)","2012","Monaghan","Euro","14598"
"Disposable Income per Person (excluding Rent)","2012","West","Euro","15893"
"Disposable Income per Person (excluding Rent)","2012","Galway","Euro","16161"
"Disposable Income per Person (excluding Rent)","2012","Mayo","Euro","15727"
"Disposable Income per Person (excluding Rent)","2012","Roscommon","Euro","15180"
"Disposable Income per Person (excluding Rent)","2012","Southern","Euro","16596"
"Disposable Income per Person (excluding Rent)","2012","Mid-West","Euro","17235"
"Disposable Income per Person (excluding Rent)","2012","Clare","Euro","15682"
"Disposable Income per Person (excluding Rent)","2012","Limerick","Euro","18907"
"Disposable Income per Person (excluding Rent)","2012","Tipperary","Euro","16359"
"Disposable Income per Person (excluding Rent)","2012","South-East","Euro","16080"
"Disposable Income per Person (excluding Rent)","2012","Carlow","Euro","16650"
"Disposable Income per Person (excluding Rent)","2012","Kilkenny","Euro","15396"
"Disposable Income per Person (excluding Rent)","2012","Wexford","Euro","15901"
"Disposable Income per Person (excluding Rent)","2012","Waterford","Euro","16607"
"Disposable Income per Person (excluding Rent)","2012","South-West","Euro","16466"
"Disposable Income per Person (excluding Rent)","2012","Cork","Euro","16733"
"Disposable Income per Person (excluding Rent)","2012","Kerry","Euro","15511"
"Disposable Income per Person (excluding Rent)","2012","Eastern and Midland","Euro","17307"
"Disposable Income per Person (excluding Rent)","2012","Dublin","Euro","18253"
"Disposable Income per Person (excluding Rent)","2012","Mid-East","Euro","16297"
"Disposable Income per Person (excluding Rent)","2012","Kildare","Euro","16715"
"Disposable Income per Person (excluding Rent)","2012","Louth","Euro","16062"
"Disposable Income per Person (excluding Rent)","2012","Meath","Euro","16040"
"Disposable Income per Person (excluding Rent)","2012","Wicklow","Euro","16210"
"Disposable Income per Person (excluding Rent)","2012","Midland","Euro","15386"
"Disposable Income per Person (excluding Rent)","2012","Laois","Euro","15342"
"Disposable Income per Person (excluding Rent)","2012","Longford","Euro","15906"
"Disposable Income per Person (excluding Rent)","2012","Offaly","Euro","14781"
"Disposable Income per Person (excluding Rent)","2012","Westmeath","Euro","15731"
"Disposable Income per Person (excluding Rent)","2013","State","Euro","16177"
"Disposable Income per Person (excluding Rent)","2013","Northern and Western","Euro","14612"
"Disposable Income per Person (excluding Rent)","2013","Border","Euro","14336"
"Disposable Income per Person (excluding Rent)","2013","Leitrim","Euro","15634"
"Disposable Income per Person (excluding Rent)","2013","Sligo","Euro","15570"
"Disposable Income per Person (excluding Rent)","2013","Cavan","Euro","14685"
"Disposable Income per Person (excluding Rent)","2013","Donegal","Euro","13512"
"Disposable Income per Person (excluding Rent)","2013","Monaghan","Euro","14095"
"Disposable Income per Person (excluding Rent)","2013","West","Euro","14855"
"Disposable Income per Person (excluding Rent)","2013","Galway","Euro","15101"
"Disposable Income per Person (excluding Rent)","2013","Mayo","Euro","14722"
"Disposable Income per Person (excluding Rent)","2013","Roscommon","Euro","14163"
"Disposable Income per Person (excluding Rent)","2013","Southern","Euro","16126"
"Disposable Income per Person (excluding Rent)","2013","Mid-West","Euro","16675"
"Disposable Income per Person (excluding Rent)","2013","Clare","Euro","14713"
"Disposable Income per Person (excluding Rent)","2013","Limerick","Euro","17901"
"Disposable Income per Person (excluding Rent)","2013","Tipperary","Euro","16641"
"Disposable Income per Person (excluding Rent)","2013","South-East","Euro","15749"
"Disposable Income per Person (excluding Rent)","2013","Carlow","Euro","16092"
"Disposable Income per Person (excluding Rent)","2013","Kilkenny","Euro","15502"
"Disposable Income per Person (excluding Rent)","2013","Wexford","Euro","15551"
"Disposable Income per Person (excluding Rent)","2013","Waterford","Euro","16045"
"Disposable Income per Person (excluding Rent)","2013","South-West","Euro","15972"
"Disposable Income per Person (excluding Rent)","2013","Cork","Euro","16358"
"Disposable Income per Person (excluding Rent)","2013","Kerry","Euro","14597"
"Disposable Income per Person (excluding Rent)","2013","Eastern and Midland","Euro","16806"
"Disposable Income per Person (excluding Rent)","2013","Dublin","Euro","17849"
"Disposable Income per Person (excluding Rent)","2013","Mid-East","Euro","15571"
"Disposable Income per Person (excluding Rent)","2013","Kildare","Euro","15938"
"Disposable Income per Person (excluding Rent)","2013","Louth","Euro","15464"
"Disposable Income per Person (excluding Rent)","2013","Meath","Euro","15237"
"Disposable Income per Person (excluding Rent)","2013","Wicklow","Euro","15554"
"Disposable Income per Person (excluding Rent)","2013","Midland","Euro","14964"
"Disposable Income per Person (excluding Rent)","2013","Laois","Euro","15227"
"Disposable Income per Person (excluding Rent)","2013","Longford","Euro","15347"
"Disposable Income per Person (excluding Rent)","2013","Offaly","Euro","14379"
"Disposable Income per Person (excluding Rent)","2013","Westmeath","Euro","15065"
"Disposable Income per Person (excluding Rent)","2014","State","Euro","16134"
"Disposable Income per Person (excluding Rent)","2014","Northern and Western","Euro","14412"
"Disposable Income per Person (excluding Rent)","2014","Border","Euro","14089"
"Disposable Income per Person (excluding Rent)","2014","Leitrim","Euro","15267"
"Disposable Income per Person (excluding Rent)","2014","Sligo","Euro","15214"
"Disposable Income per Person (excluding Rent)","2014","Cavan","Euro","14556"
"Disposable Income per Person (excluding Rent)","2014","Donegal","Euro","13181"
"Disposable Income per Person (excluding Rent)","2014","Monaghan","Euro","14108"
"Disposable Income per Person (excluding Rent)","2014","West","Euro","14697"
"Disposable Income per Person (excluding Rent)","2014","Galway","Euro","14965"
"Disposable Income per Person (excluding Rent)","2014","Mayo","Euro","14453"
"Disposable Income per Person (excluding Rent)","2014","Roscommon","Euro","14147"
"Disposable Income per Person (excluding Rent)","2014","Southern","Euro","15965"
"Disposable Income per Person (excluding Rent)","2014","Mid-West","Euro","16296"
"Disposable Income per Person (excluding Rent)","2014","Clare","Euro","14622"
"Disposable Income per Person (excluding Rent)","2014","Limerick","Euro","17721"
"Disposable Income per Person (excluding Rent)","2014","Tipperary","Euro","15811"
"Disposable Income per Person (excluding Rent)","2014","South-East","Euro","15905"
"Disposable Income per Person (excluding Rent)","2014","Carlow","Euro","16121"
"Disposable Income per Person (excluding Rent)","2014","Kilkenny","Euro","15413"
"Disposable Income per Person (excluding Rent)","2014","Wexford","Euro","15728"
"Disposable Income per Person (excluding Rent)","2014","Waterford","Euro","16439"
"Disposable Income per Person (excluding Rent)","2014","South-West","Euro","15769"
"Disposable Income per Person (excluding Rent)","2014","Cork","Euro","16084"
"Disposable Income per Person (excluding Rent)","2014","Kerry","Euro","14647"
"Disposable Income per Person (excluding Rent)","2014","Eastern and Midland","Euro","16904"
"Disposable Income per Person (excluding Rent)","2014","Dublin","Euro","18088"
"Disposable Income per Person (excluding Rent)","2014","Mid-East","Euro","15574"
"Disposable Income per Person (excluding Rent)","2014","Kildare","Euro","16003"
"Disposable Income per Person (excluding Rent)","2014","Louth","Euro","15107"
"Disposable Income per Person (excluding Rent)","2014","Meath","Euro","15345"
"Disposable Income per Person (excluding Rent)","2014","Wicklow","Euro","15643"
"Disposable Income per Person (excluding Rent)","2014","Midland","Euro","14648"
"Disposable Income per Person (excluding Rent)","2014","Laois","Euro","14841"
"Disposable Income per Person (excluding Rent)","2014","Longford","Euro","14747"
"Disposable Income per Person (excluding Rent)","2014","Offaly","Euro","14125"
"Disposable Income per Person (excluding Rent)","2014","Westmeath","Euro","14889"
"Disposable Income per Person (excluding Rent)","2015","State","Euro","16788"
"Disposable Income per Person (excluding Rent)","2015","Northern and Western","Euro","14790"
"Disposable Income per Person (excluding Rent)","2015","Border","Euro","14580"
"Disposable Income per Person (excluding Rent)","2015","Leitrim","Euro","15648"
"Disposable Income per Person (excluding Rent)","2015","Sligo","Euro","15697"
"Disposable Income per Person (excluding Rent)","2015","Cavan","Euro","15209"
"Disposable Income per Person (excluding Rent)","2015","Donegal","Euro","13505"
"Disposable Income per Person (excluding Rent)","2015","Monaghan","Euro","14914"
"Disposable Income per Person (excluding Rent)","2015","West","Euro","14976"
"Disposable Income per Person (excluding Rent)","2015","Galway","Euro","15416"
"Disposable Income per Person (excluding Rent)","2015","Mayo","Euro","14485"
"Disposable Income per Person (excluding Rent)","2015","Roscommon","Euro","14253"
"Disposable Income per Person (excluding Rent)","2015","Southern","Euro","16489"
"Disposable Income per Person (excluding Rent)","2015","Mid-West","Euro","16752"
"Disposable Income per Person (excluding Rent)","2015","Clare","Euro","15093"
"Disposable Income per Person (excluding Rent)","2015","Limerick","Euro","18184"
"Disposable Income per Person (excluding Rent)","2015","Tipperary","Euro","16247"
"Disposable Income per Person (excluding Rent)","2015","South-East","Euro","16660"
"Disposable Income per Person (excluding Rent)","2015","Carlow","Euro","17208"
"Disposable Income per Person (excluding Rent)","2015","Kilkenny","Euro","16215"
"Disposable Income per Person (excluding Rent)","2015","Wexford","Euro","16507"
"Disposable Income per Person (excluding Rent)","2015","Waterford","Euro","16965"
"Disposable Income per Person (excluding Rent)","2015","South-West","Euro","16198"
"Disposable Income per Person (excluding Rent)","2015","Cork","Euro","16516"
"Disposable Income per Person (excluding Rent)","2015","Kerry","Euro","15066"
"Disposable Income per Person (excluding Rent)","2015","Eastern and Midland","Euro","17754"
"Disposable Income per Person (excluding Rent)","2015","Dublin","Euro","19005"
"Disposable Income per Person (excluding Rent)","2015","Mid-East","Euro","16491"
"Disposable Income per Person (excluding Rent)","2015","Kildare","Euro","17061"
"Disposable Income per Person (excluding Rent)","2015","Louth","Euro","15710"
"Disposable Income per Person (excluding Rent)","2015","Meath","Euro","16278"
"Disposable Income per Person (excluding Rent)","2015","Wicklow","Euro","16602"
"Disposable Income per Person (excluding Rent)","2015","Midland","Euro","15045"
"Disposable Income per Person (excluding Rent)","2015","Laois","Euro","15018"
"Disposable Income per Person (excluding Rent)","2015","Longford","Euro","15330"
"Disposable Income per Person (excluding Rent)","2015","Offaly","Euro","14479"
"Disposable Income per Person (excluding Rent)","2015","Westmeath","Euro","15444"
"Disposable Income per Person (excluding Rent)","2016","State","Euro","17184"
"Disposable Income per Person (excluding Rent)","2016","Northern and Western","Euro","15183"
"Disposable Income per Person (excluding Rent)","2016","Border","Euro","14673"
"Disposable Income per Person (excluding Rent)","2016","Leitrim","Euro","15714"
"Disposable Income per Person (excluding Rent)","2016","Sligo","Euro","15731"
"Disposable Income per Person (excluding Rent)","2016","Cavan","Euro","15486"
"Disposable Income per Person (excluding Rent)","2016","Donegal","Euro","13546"
"Disposable Income per Person (excluding Rent)","2016","Monaghan","Euro","14998"
"Disposable Income per Person (excluding Rent)","2016","West","Euro","15633"
"Disposable Income per Person (excluding Rent)","2016","Galway","Euro","16100"
"Disposable Income per Person (excluding Rent)","2016","Mayo","Euro","15062"
"Disposable Income per Person (excluding Rent)","2016","Roscommon","Euro","14970"
"Disposable Income per Person (excluding Rent)","2016","Southern","Euro","16850"
"Disposable Income per Person (excluding Rent)","2016","Mid-West","Euro","17656"
"Disposable Income per Person (excluding Rent)","2016","Clare","Euro","15805"
"Disposable Income per Person (excluding Rent)","2016","Limerick","Euro","19393"
"Disposable Income per Person (excluding Rent)","2016","Tipperary","Euro","16925"
"Disposable Income per Person (excluding Rent)","2016","South-East","Euro","16185"
"Disposable Income per Person (excluding Rent)","2016","Carlow","Euro","16652"
"Disposable Income per Person (excluding Rent)","2016","Kilkenny","Euro","15764"
"Disposable Income per Person (excluding Rent)","2016","Wexford","Euro","15967"
"Disposable Income per Person (excluding Rent)","2016","Waterford","Euro","16592"
"Disposable Income per Person (excluding Rent)","2016","South-West","Euro","16691"
"Disposable Income per Person (excluding Rent)","2016","Cork","Euro","16824"
"Disposable Income per Person (excluding Rent)","2016","Kerry","Euro","16218"
"Disposable Income per Person (excluding Rent)","2016","Eastern and Midland","Euro","18175"
"Disposable Income per Person (excluding Rent)","2016","Dublin","Euro","19337"
"Disposable Income per Person (excluding Rent)","2016","Mid-East","Euro","17144"
"Disposable Income per Person (excluding Rent)","2016","Kildare","Euro","17909"
"Disposable Income per Person (excluding Rent)","2016","Louth","Euro","16213"
"Disposable Income per Person (excluding Rent)","2016","Meath","Euro","16895"
"Disposable Income per Person (excluding Rent)","2016","Wicklow","Euro","17140"
"Disposable Income per Person (excluding Rent)","2016","Midland","Euro","15324"
"Disposable Income per Person (excluding Rent)","2016","Laois","Euro","15404"
"Disposable Income per Person (excluding Rent)","2016","Longford","Euro","15485"
"Disposable Income per Person (excluding Rent)","2016","Offaly","Euro","14685"
"Disposable Income per Person (excluding Rent)","2016","Westmeath","Euro","15745"
"Disposable Income per Person (excluding Rent)","2017","State","Euro","18406"
"Disposable Income per Person (excluding Rent)","2017","Northern and Western","Euro","16289"
"Disposable Income per Person (excluding Rent)","2017","Border","Euro","15833"
"Disposable Income per Person (excluding Rent)","2017","Leitrim","Euro","16936"
"Disposable Income per Person (excluding Rent)","2017","Sligo","Euro","17121"
"Disposable Income per Person (excluding Rent)","2017","Cavan","Euro","16564"
"Disposable Income per Person (excluding Rent)","2017","Donegal","Euro","14573"
"Disposable Income per Person (excluding Rent)","2017","Monaghan","Euro","16331"
"Disposable Income per Person (excluding Rent)","2017","West","Euro","16691"
"Disposable Income per Person (excluding Rent)","2017","Galway","Euro","17126"
"Disposable Income per Person (excluding Rent)","2017","Mayo","Euro","16103"
"Disposable Income per Person (excluding Rent)","2017","Roscommon","Euro","16189"
"Disposable Income per Person (excluding Rent)","2017","Southern","Euro","17955"
"Disposable Income per Person (excluding Rent)","2017","Mid-West","Euro","18966"
"Disposable Income per Person (excluding Rent)","2017","Clare","Euro","17122"
"Disposable Income per Person (excluding Rent)","2017","Limerick","Euro","20716"
"Disposable Income per Person (excluding Rent)","2017","Tipperary","Euro","18213"
"Disposable Income per Person (excluding Rent)","2017","South-East","Euro","17007"
"Disposable Income per Person (excluding Rent)","2017","Carlow","Euro","17212"
"Disposable Income per Person (excluding Rent)","2017","Kilkenny","Euro","16750"
"Disposable Income per Person (excluding Rent)","2017","Wexford","Euro","16633"
"Disposable Income per Person (excluding Rent)","2017","Waterford","Euro","17601"
"Disposable Income per Person (excluding Rent)","2017","South-West","Euro","17827"
"Disposable Income per Person (excluding Rent)","2017","Cork","Euro","17995"
"Disposable Income per Person (excluding Rent)","2017","Kerry","Euro","17229"
"Disposable Income per Person (excluding Rent)","2017","Eastern and Midland","Euro","19522"
"Disposable Income per Person (excluding Rent)","2017","Dublin","Euro","20436"
"Disposable Income per Person (excluding Rent)","2017","Mid-East","Euro","19121"
"Disposable Income per Person (excluding Rent)","2017","Kildare","Euro","20269"
"Disposable Income per Person (excluding Rent)","2017","Louth","Euro","17601"
"Disposable Income per Person (excluding Rent)","2017","Meath","Euro","18990"
"Disposable Income per Person (excluding Rent)","2017","Wicklow","Euro","18897"
"Disposable Income per Person (excluding Rent)","2017","Midland","Euro","16328"
"Disposable Income per Person (excluding Rent)","2017","Laois","Euro","16355"
"Disposable Income per Person (excluding Rent)","2017","Longford","Euro","16672"
"Disposable Income per Person (excluding Rent)","2017","Offaly","Euro","15758"
"Disposable Income per Person (excluding Rent)","2017","Westmeath","Euro","16657"
"Disposable Income per Person (excluding Rent)","2018","State","Euro","18259"
"Disposable Income per Person (excluding Rent)","2018","Northern and Western","Euro","15832"
"Disposable Income per Person (excluding Rent)","2018","Border","Euro","15480"
"Disposable Income per Person (excluding Rent)","2018","Leitrim","Euro","16862"
"Disposable Income per Person (excluding Rent)","2018","Sligo","Euro","16105"
"Disposable Income per Person (excluding Rent)","2018","Cavan","Euro","15953"
"Disposable Income per Person (excluding Rent)","2018","Donegal","Euro","14718"
"Disposable Income per Person (excluding Rent)","2018","Monaghan","Euro","15537"
"Disposable Income per Person (excluding Rent)","2018","West","Euro","16142"
"Disposable Income per Person (excluding Rent)","2018","Galway","Euro","16457"
"Disposable Income per Person (excluding Rent)","2018","Mayo","Euro","15783"
"Disposable Income per Person (excluding Rent)","2018","Roscommon","Euro","15645"
"Disposable Income per Person (excluding Rent)","2018","Southern","Euro","17846"
"Disposable Income per Person (excluding Rent)","2018","Mid-West","Euro","18667"
"Disposable Income per Person (excluding Rent)","2018","Clare","Euro","16911"
"Disposable Income per Person (excluding Rent)","2018","Limerick","Euro","20703"
"Disposable Income per Person (excluding Rent)","2018","Tipperary","Euro","17505"
"Disposable Income per Person (excluding Rent)","2018","South-East","Euro","16912"
"Disposable Income per Person (excluding Rent)","2018","Carlow","Euro","17146"
"Disposable Income per Person (excluding Rent)","2018","Kilkenny","Euro","16642"
"Disposable Income per Person (excluding Rent)","2018","Wexford","Euro","16629"
"Disposable Income per Person (excluding Rent)","2018","Waterford","Euro","17387"
"Disposable Income per Person (excluding Rent)","2018","South-West","Euro","17842"
"Disposable Income per Person (excluding Rent)","2018","Cork","Euro","18258"
"Disposable Income per Person (excluding Rent)","2018","Kerry","Euro","16357"
"Disposable Income per Person (excluding Rent)","2018","Eastern and Midland","Euro","19468"
"Disposable Income per Person (excluding Rent)","2018","Dublin","Euro","20631"
"Disposable Income per Person (excluding Rent)","2018","Mid-East","Euro","18989"
"Disposable Income per Person (excluding Rent)","2018","Kildare","Euro","20276"
"Disposable Income per Person (excluding Rent)","2018","Louth","Euro","17482"
"Disposable Income per Person (excluding Rent)","2018","Meath","Euro","18703"
"Disposable Income per Person (excluding Rent)","2018","Wicklow","Euro","18749"
"Disposable Income per Person (excluding Rent)","2018","Midland","Euro","15332"
"Disposable Income per Person (excluding Rent)","2018","Laois","Euro","15196"
"Disposable Income per Person (excluding Rent)","2018","Longford","Euro","15629"
"Disposable Income per Person (excluding Rent)","2018","Offaly","Euro","14910"
"Disposable Income per Person (excluding Rent)","2018","Westmeath","Euro","15702"
"Index of Disposable Income per Person (excluding Rent)","2000","State","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2000","Northern and Western","State=100","90"
"Index of Disposable Income per Person (excluding Rent)","2000","Border","State=100","86.5"
"Index of Disposable Income per Person (excluding Rent)","2000","Leitrim","State=100","88.9"
"Index of Disposable Income per Person (excluding Rent)","2000","Sligo","State=100","89.5"
"Index of Disposable Income per Person (excluding Rent)","2000","Cavan","State=100","89"
"Index of Disposable Income per Person (excluding Rent)","2000","Donegal","State=100","82.7"
"Index of Disposable Income per Person (excluding Rent)","2000","Monaghan","State=100","88.9"
"Index of Disposable Income per Person (excluding Rent)","2000","West","State=100","93.2"
"Index of Disposable Income per Person (excluding Rent)","2000","Galway","State=100","93.1"
"Index of Disposable Income per Person (excluding Rent)","2000","Mayo","State=100","93.3"
"Index of Disposable Income per Person (excluding Rent)","2000","Roscommon","State=100","93.2"
"Index of Disposable Income per Person (excluding Rent)","2000","Southern","State=100","95"
"Index of Disposable Income per Person (excluding Rent)","2000","Mid-West","State=100","97"
"Index of Disposable Income per Person (excluding Rent)","2000","Clare","State=100","97.9"
"Index of Disposable Income per Person (excluding Rent)","2000","Limerick","State=100","100.4"
"Index of Disposable Income per Person (excluding Rent)","2000","Tipperary","State=100","92.1"
"Index of Disposable Income per Person (excluding Rent)","2000","South-East","State=100","93.7"
"Index of Disposable Income per Person (excluding Rent)","2000","Carlow","State=100","93"
"Index of Disposable Income per Person (excluding Rent)","2000","Kilkenny","State=100","89"
"Index of Disposable Income per Person (excluding Rent)","2000","Wexford","State=100","92.2"
"Index of Disposable Income per Person (excluding Rent)","2000","Waterford","State=100","99.3"
"Index of Disposable Income per Person (excluding Rent)","2000","South-West","State=100","94.4"
"Index of Disposable Income per Person (excluding Rent)","2000","Cork","State=100","96.7"
"Index of Disposable Income per Person (excluding Rent)","2000","Kerry","State=100","86.6"
"Index of Disposable Income per Person (excluding Rent)","2000","Eastern and Midland","State=100","107.4"
"Index of Disposable Income per Person (excluding Rent)","2000","Dublin","State=100","113.2"
"Index of Disposable Income per Person (excluding Rent)","2000","Mid-East","State=100","101.1"
"Index of Disposable Income per Person (excluding Rent)","2000","Kildare","State=100","105.8"
"Index of Disposable Income per Person (excluding Rent)","2000","Louth","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2000","Meath","State=100","98.6"
"Index of Disposable Income per Person (excluding Rent)","2000","Wicklow","State=100","98.5"
"Index of Disposable Income per Person (excluding Rent)","2000","Midland","State=100","92.5"
"Index of Disposable Income per Person (excluding Rent)","2000","Laois","State=100","90.6"
"Index of Disposable Income per Person (excluding Rent)","2000","Longford","State=100","93.3"
"Index of Disposable Income per Person (excluding Rent)","2000","Offaly","State=100","89.2"
"Index of Disposable Income per Person (excluding Rent)","2000","Westmeath","State=100","96.7"
"Index of Disposable Income per Person (excluding Rent)","2001","State","State=100","100"
"Index of Disposable Income per Person (excluding Rent)","2001","Northern and Western","State=100","88.6"
"Index of Disposable Income per Person (excluding Rent)","2001","Border","State=100","85.3"
"Index of Disposable Income per Person (excluding Rent)","2001","Leitrim","State=100","86.7"
"Index of Disposable Income per Person (excluding Rent)","2001","Sligo","State=100","89.1"
"Index of Disposable Income per Person (excluding Rent)","2001","Cavan","State=100","88.8"
"Index of Disposable Income per Person (excluding Rent)","2001","Donegal","State=100","81"
"Index of Disposable Income per Person (excluding Rent)","2001","Monaghan","State=100","88"
"Index of Disposable Income per Person (excluding Rent)","2001","West","State=100","91.5"
"Index of Disposable Income per Person (excluding Rent)","2001","Galway","State=100","91.5"
"Index of Disposable Income per Person (excluding Rent)","2001","Mayo","State=100","91.4"
"Index of Disposable Income per Person (excluding Rent)","2001","Roscommon","State=100","91.9"
"Index of Disposable Income per Person (excluding Rent)","2001","Southern","State=100","94.5"
"Index of Disposable Income per Person (excluding Rent)","2001","Mid-West","State=100","96.8"
"Index of Disposable Income per Person (excluding Rent)","2001","Clare","State=100","95.6"
"Index of Disposable Income per Person (excluding Rent)","2001","Limerick","State=100","101"
"Index of Disposable Income per Person (excluding Rent)","2001","Tipperary","State=100","92.5"
"Index of Disposable Income per Person (excluding Rent)","2001","South-East","State=100","92.3"
"Index of Disposable Income per Person (excluding Rent)","2001","Carlow","State=100","91.4"
"Index of Disposable Income per Person (excluding Rent)","2001","Kilkenny","State=100","86.9"
"Index of Disposable Income per Person (excluding Rent)","2001","Wexford","State=100","91.8"
"Index of Disposable Income per Person (excluding Rent)","2001","Waterford","State=100","97.5"
"Index of Disposable Income per Person (excluding Rent)","2001","South-West","State=100","94.2"
"Index of Disposable Income per Person (excluding Rent)","2001","Cork","State=100","96.6"
"Index of Disposable Income per Person (excluding Rent)","2001","Kerry","State=100","86.3"
"Index of Disposable Income per Person (excluding Rent)","2001","Eastern and Midland","State=100","108.3"
"Index of Disposable Income per Person (excluding Rent)","2001","Dublin","State=100","114.4"
"Index of Disposable Income per Person (excluding Rent)","2001","Mid-East","State=100","101.9"
"Index of Disposable Income per Person (excluding Rent)","2001","Kildare","State=100","106"
"Index of Disposable Income per Person (excluding Rent)","2001","Louth","State=100","102.2"
"Index of Disposable Income per Person (excluding Rent)","2001","Meath","State=100","98.7"
"Index of Disposable Income per Person (excluding Rent)","2001","Wicklow","State=100","99.8"
"Index of Disposable Income per Person (excluding Rent)","2001","Midland","State=100","91.8"
"Index of Disposable Income per Person (excluding Rent)","2001","Laois","State=100","89.1"
