"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Total Floor Area for which Permission Granted","1983","One off houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","One off houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","State","000 Sq Metres","247"
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1983","Private flats/apartments","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","State","000 Sq Metres","2293"
"Total Floor Area for which Permission Granted","1984","Houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","State","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Multi development houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","State","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","One off houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","State","000 Sq Metres","149"
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1984","Private flats/apartments","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","State","000 Sq Metres","1964"
"Total Floor Area for which Permission Granted","1985","Houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","State","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Tipperary","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","South-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Carlow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Kilkenny","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Wexford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Waterford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","South-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Cork","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Cork City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Kerry","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Eastern and Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Dublin City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","South Dublin","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Fingal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Dun Laoghaire - Rathdown","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Mid-East","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Kildare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Louth","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Meath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Wicklow","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Midland","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Laois","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Longford","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Offaly","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","Multi development houses","Westmeath","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","State","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Northern and Western","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Border","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Leitrim","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Sligo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Cavan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Donegal","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Monaghan","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Galway","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Galway City","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Mayo","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Roscommon","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Southern","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Mid-West","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Clare","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Limerick","000 Sq Metres",""
"Total Floor Area for which Permission Granted","1985","One off houses","Tipperary","000 Sq Metres",""
