"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2016","Both sexes","Aggregate Town Area","Dublin City","Number","554554"
"Population","2016","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","215453"
"Population","2016","Both sexes","Aggregate Town Area","Fingal","Number","274423"
"Population","2016","Both sexes","Aggregate Town Area","South Dublin","Number","273215"
"Population","2016","Both sexes","Aggregate Town Area","Kildare","Number","150338"
"Population","2016","Both sexes","Aggregate Town Area","Kilkenny","Number","38438"
"Population","2016","Both sexes","Aggregate Town Area","Laois","Number","40979"
"Population","2016","Both sexes","Aggregate Town Area","Longford","Number","13957"
"Population","2016","Both sexes","Aggregate Town Area","Louth","Number","85224"
"Population","2016","Both sexes","Aggregate Town Area","Meath","Number","114380"
"Population","2016","Both sexes","Aggregate Town Area","Offaly","Number","33421"
"Population","2016","Both sexes","Aggregate Town Area","Westmeath","Number","43435"
"Population","2016","Both sexes","Aggregate Town Area","Wexford","Number","57753"
"Population","2016","Both sexes","Aggregate Town Area","Wicklow","Number","92593"
"Population","2016","Both sexes","Aggregate Town Area","Clare","Number","46654"
"Population","2016","Both sexes","Aggregate Town Area","Cork City","Number","125657"
"Population","2016","Both sexes","Aggregate Town Area","Cork County","Number","214995"
"Population","2016","Both sexes","Aggregate Town Area","Kerry","Number","52126"
"Population","2016","Both sexes","Aggregate Town Area","Limerick City and County","Number","105047"
"Population","2016","Both sexes","Aggregate Town Area","Tipperary","Number","66244"
"Population","2016","Both sexes","Aggregate Town Area","Waterford City and County","Number","71546"
"Population","2016","Both sexes","Aggregate Town Area","Galway City","Number","78668"
"Population","2016","Both sexes","Aggregate Town Area","Galway County","Number","39913"
"Population","2016","Both sexes","Aggregate Town Area","Leitrim","Number","3422"
"Population","2016","Both sexes","Aggregate Town Area","Mayo","Number","37276"
"Population","2016","Both sexes","Aggregate Town Area","Roscommon","Number","17300"
"Population","2016","Both sexes","Aggregate Town Area","Sligo","Number","26097"
"Population","2016","Both sexes","Aggregate Town Area","Cavan","Number","23258"
"Population","2016","Both sexes","Aggregate Town Area","Donegal","Number","43414"
"Population","2016","Both sexes","Aggregate Town Area","Monaghan","Number","17997"
"Population","2016","Both sexes","Aggregate Rural Area","State","Number","1776084"
"Population","2016","Both sexes","Aggregate Rural Area","Carlow","Number","28928"
"Population","2016","Both sexes","Aggregate Rural Area","Dublin City","Number","0"
"Population","2016","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","2565"
