"Year","County","Planning Permission"
"2007","Longford","0"
"2007","Louth","0"
"2007","Mayo","0"
"2007","Meath","0"
"2007","Monaghan","0"
"2007","Offaly","0"
"2007","Roscommon","0"
"2007","Sligo","0"
"2007","Tipperary","0"
"2007","Waterford","0"
"2007","Wexford","0"
"2007","Wicklow","0"
"2008","Carlow","0"
"2008","Cavan","0"
"2008","Clare","0"
"2008","Cork","0"
"2008","Donegal","0"
"2008","Dublin","0"
"2008","Fingal","0"
"2008","Galway","0"
"2008","Kerry","0"
"2008","Kildare","0"
"2008","Kilkenny","0"
"2008","Laois","0"
"2008","Leitrim","0"
"2008","Limerick","0"
"2008","Longford","0"
"2008","Louth","0"
"2008","Mayo","0"
"2008","Meath","0"
"2008","Monaghan","0"
"2008","Offaly","0"
"2008","Roscommon","0"
"2008","Sligo","0"
"2008","Tipperary","0"
"2008","Waterford","0"
"2008","Wexford","0"
"2008","Wicklow","0"
"2009","Carlow","0"
"2009","Cavan","0"
"2009","Clare","0"
"2009","Cork","0"
"2009","Donegal","0"
"2009","Dublin","0"
"2009","Fingal","0"
"2009","Galway","0"
"2009","Kerry","0"
"2009","Kildare","0"
"2009","Kilkenny","0"
"2009","Laois","0"
"2009","Leitrim","0"
"2009","Limerick","0"
"2009","Longford","0"
"2009","Louth","0"
"2009","Mayo","0"
"2009","Meath","0"
"2009","Monaghan","0"
"2009","Offaly","0"
"2009","Roscommon","0"
"2009","Sligo","0"
"2009","Tipperary","0"
"2009","Waterford","0"
"2009","Wexford","0"
"2009","Wicklow","0"
"2010","Carlow","0"
"2010","Cavan","0"
"2010","Clare","0"
"2010","Cork","0"
"2010","Donegal","0"
"2010","Dublin","0"
"2010","Fingal","0"
"2010","Galway","0"
"2010","Kerry","0"
"2010","Kildare","0"
"2010","Kilkenny","0"
"2010","Laois","0"
"2010","Leitrim","0"
"2010","Limerick","0"
"2010","Longford","0"
"2010","Louth","0"
"2010","Mayo","0"
"2010","Meath","0"
"2010","Monaghan","0"
"2010","Offaly","0"
"2010","Roscommon","0"
"2010","Sligo","0"
"2010","Tipperary","0"
"2010","Waterford","0"
"2010","Wexford","0"
"2010","Wicklow","0"
